Column1.1,Column1.2,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7,Column1.8,Column1.9,Column1.10,Column1.11,Column1.12,Column1.13,Column1.14,Column1.15,Column1.16,Column1.17,Column1.18,Column1.19,Column1.20,Column1.21,Column1.22,Column1.23,Column1.24,Column1.25,Column1.26,Column1.27,Column1.28,Column1.29,Column1.30,Column1.31,Column1.32,Column1.33,Column1.34,Column1.35,Column1.36,Column1.37,Column1.38,Column1.39,Column1.40,Column1.41,Column1.42,Column1.43,Column1.44,Column1.45,Column1.46,Column1.47,Column1.48
Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,"Value,,,,,,,,,,,,,,,"
CHEMBL110682,,None,384.48,0,0.81,38,O=c1[nH]c(=O)n(CCCCN2CCN(c3ncccn3)CC2)c2c1CCCC2,IC50,'=',3000.0,nM,5.52,,,UO_0000065,14.36,0.27,4.71,6.34,0,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134951,1,Scientific Literature,Bioorg Med Chem Lett,2002,None,,,,"3000.0,,,,,,,,,,,,,,,"
CHEMBL110681,,None,419.48,0,2.30,39,CN(CC(=O)c1ccc2ccccc2c1)C(=O)CCn1c2c(c(=O)[nH]c1=O)CCCC2,IC50,'=',400.0,nM,6.40,,,UO_0000065,15.25,0.28,4.10,6.94,0,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134951,1,Scientific Literature,Bioorg Med Chem Lett,2002,None,,,,"400.0,,,,,,,,,,,,,,,"
CHEMBL2419706,,None,494.59,0,2.18,"43, NVP-TNKS656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2419893,,None,296.25,0,2.53,7,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1COCC2,IC50,'>',19000.0,nM,,,,UO_0000065,,,,,0,CHEMBL2422478,Inhibition of PARP1 (unknown origin) assessed as nicotinamide concentration by LC-MS analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2417384,1,Scientific Literature,J Med Chem,2013,None,,,,"19.0,,,,,,,,,,,,,,,"
CHEMBL3092521,,None,289.33,0,0.74,19c,CC[C@@H](CO)NC(=O)CCc1nc2ccccc2c(=O)[nH]1,IC50,'=',3100.0,nM,5.51,,,UO_0000065,19.04,0.36,4.77,5.79,0,CHEMBL3096298,Inhibition of catalytic domain of ATRD1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3091384,1,Scientific Literature,J Med Chem,2013,None,,,,"3.1,,,,,,,,,,,,,,,"
CHEMBL251027,,None,363.44,0,3.78,19,O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2ccccc12,IC50,'=',8.9,nM,8.05,,,UO_0000065,22.15,0.41,4.27,16.43,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"8.9,,,,,,,,,,,,,,,"
CHEMBL184513,,None,363.44,0,4.20,20,Oc1nc(CCCN2CC=C(c3cccc(F)c3)CC2)nc2ccccc12,IC50,'=',23.0,nM,7.64,,,UO_0000065,21.02,0.39,3.44,15.51,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"23.0,,,,,,,,,,,,,,,"
CHEMBL184104,,None,363.44,0,4.20,21,Oc1nc(CCCN2CC=C(c3ccccc3F)CC2)nc2ccccc12,IC50,'=',37.0,nM,7.43,,,UO_0000065,20.45,0.38,3.23,15.09,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"37.0,,,,,,,,,,,,,,,"
CHEMBL187689,,None,375.47,0,4.07,27,COc1ccccc1C1=CCN(CCCc2nc(O)c3ccccc3n2)CC1,IC50,'=',170.0,nM,6.77,,,UO_0000065,18.03,0.33,2.70,11.58,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"170.0,,,,,,,,,,,,,,,"
CHEMBL188985,,None,423.54,0,4.33,31,Oc1nc(CCCN2CC=C(c3ccc(-[n+]4ccccc4)cc3)CC2)nc2ccccc12,IC50,'=',12.0,nM,7.92,,,UO_0000065,18.70,0.34,3.59,14.91,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"12.0,,,,,,,,,,,,,,,"
CHEMBL338790,,None,212.21,0,1.31,"4-amino-1,8-naphthalimide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL83432,,None,444.60,0,2.19,28b,O=S(=O)(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,IC50,'=',349.0,nM,6.46,,,UO_0000065,14.52,0.28,4.27,8.39,0,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136129,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,,"349.0,,,,,,,,,,,,,,,"
CHEMBL196559,,None,319.36,0,2.64,22,O=C1CCCN1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,IC50,'=',120.0,nM,6.92,,,UO_0000065,21.67,0.39,4.28,10.48,0,CHEMBL829484,Inhibitory concentration against human poly (ADP-ribose) polymerase 1 (PARP-1),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141921,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,,"120.0,,,,,,,,,,,,,,,"
CHEMBL362762,,None,421.54,1,5.72,30,Oc1nc(CCCN2CC=C(c3ccc(-c4ccccc4)cc3)CC2)nc2ccccc12,IC50,'=',34.0,nM,7.47,,,UO_0000065,17.72,0.32,1.75,15.16,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"34.0,,,,,,,,,,,,,,,"
CHEMBL596168,,None,292.34,0,2.17,8,O=C1NCC2c3c(cccc31)CCN2C(=O)c1ccccc1,IC50,'=',4.0,nM,8.40,,,UO_0000065,28.73,0.52,6.23,17.00,0,CHEMBL1074647,Inhibition of human PARP1 by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153250,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"4.0,,,,,,,,,,,,,,,"
CHEMBL594599,,None,342.42,0,1.86,15,O=C1NCC2c3c(cccc31)CCN2S(=O)(=O)Cc1ccccc1,IC50,'=',83.0,nM,7.08,,,UO_0000065,20.68,0.40,5.22,10.65,0,CHEMBL1074647,Inhibition of human PARP1 by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153250,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"83.0,,,,,,,,,,,,,,,"
CHEMBL594976,,None,340.81,0,2.75,22,O=C1NCC2c3c(cccc31)CCN2C(=O)Cc1ccc(Cl)cc1,IC50,'=',5.0,nM,8.30,,,UO_0000065,24.36,0.47,5.55,16.80,0,CHEMBL1074647,Inhibition of human PARP1 by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153250,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"5.0,,,,,,,,,,,,,,,"
